settlements.month	settlements.open	settlements.high	settlements.low	settlements.last	settlements.change	settlements.settle	settlements.volume	settlements.openInterest	updateTime	dsHeader	reportType	tradeDate	empty	nr
MAY 17	98.7975	98.8125	98.7975	98.8100	+.0100	98.8075	36,021	171,529	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
JUN 17	98.7000	98.7250	98.6950	98.7250	+.0150	98.7150	312,987	1,443,805	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
JLY 17	98.6700	98.7000	98.6700	98.6900	+.0150	98.6800	9,354	32,947	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
AUG 17	98.6350	98.6500	98.6350	98.6500	+.0150	98.6400	71	5,163	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
SEP 17	98.5700	98.5950	98.5650	98.5900	+.0050	98.5850	240,252	1,419,029	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
OCT 17	-	98.5650B	-	98.5650B	UNCH	98.5550	0	0	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
DEC 17	98.4850	98.5050	98.4800	98.5000	UNCH	98.4950	281,679	1,637,684	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
MAR 18	98.3850	98.4100	98.3800	98.4000	-.0050	98.3950	196,174	1,084,549	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
JUN 18	98.2800	98.3000	98.2750	98.2900	-.0100	98.2850	188,505	1,000,284	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
SEP 18	98.1800	98.1950	98.1700	98.1850	-.0150	98.1800	155,812	875,861	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
DEC 18	98.0750	98.0900	98.0600	98.0750	-.0200	98.0700	213,644	1,385,155	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
MAR 19	98.0100	98.0250	97.9950	98.0100	-.0250	98.0000	156,587	725,662	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
JUN 19	97.9450	97.9550	97.9250	97.9400	-.0250	97.9350	125,616	667,948	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
SEP 19	97.8850	97.8950	97.8600	97.8800	-.0300	97.8700	101,063	616,395	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
DEC 19	97.8000	97.8100	97.7750	97.7950	-.0300	97.7850	116,693	699,498	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
MAR 20	97.7600	97.7650	97.7250	97.7500	-.0300	97.7400	81,169	395,535	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
JUN 20	97.7100	97.7200	97.6800	97.7050	-.0300	97.6950	65,103	256,152	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
SEP 20	97.6650	97.6750	97.6300	97.6600	-.0300	97.6500	51,313	200,473	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
DEC 20	97.6050	97.6150	97.5700	97.6000	-.0300	97.5900	77,191	311,676	Friday, 12 May 2017 06:00 PM	Eurodollar Future	Final	2017-05-09	FALSE	1
